id_polo_1;"no_municipio_polo_2";"no_polo_3";id_ies_4;"ies_uf_5";"sg_ies_6";id_curso_7;"no_curso_8";"tipo_curso_9";"dt_inicio_real_oferta_10";qt_vagas_11;qt_alunos_formado_12;"dt_provavel_fim_13";qt_alunos_nao_concluinte_14;qt_alunos_desvinculado_15;qt_alunos_cadastrado_16
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 33;"AM";"UFAM"; 892;"ADMINISTRACAO PUBLICA";"BACHARELADO";"10/2013"; 50; 0;"09/2017"; 0; 0; 45
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 37;"RJ";"UFF"; 280;"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA";"ESPECIALIZAÇÃO";"05/2014"; 30; 0;"04/2016"; 0; 0; 12
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 37;"RJ";"UFF"; 280;"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA";"ESPECIALIZAÇÃO";"10/2014"; 30; 0;"09/2016"; 0; 0; 2
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 65;"DF";"UnB"; 163;"ARTES VISUAIS";"LICENCIATURA";"10/2007"; 20; 5;"01/2012"; 1; 9; 15
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 65;"DF";"UnB"; 165;"LETRAS PORTUGUES";"LICENCIATURA";"03/2014"; 40; 0;"07/2018"; 0; 0; 37
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 65;"DF";"UnB"; 166;"MUSICA";"LICENCIATURA";"10/2007"; 15; 1;"01/2012"; 0; 3; 4
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 65;"DF";"UnB"; 167;"PEDAGOGIA";"LICENCIATURA";"03/2014"; 30; 0;"01/2019"; 0; 6; 30
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 65;"DF";"UnB"; 168;"TEATRO";"LICENCIATURA";"10/2007"; 15; 0;"01/2012"; 0; 4; 4
 1;"ACRELANDIA";"ACRELANDIA - CENTRO"; 65;"DF";"UnB"; 997;"EDUCACAO EM DIREITOS HUMANOS";"APERFEIÇOAMENTO";; 100; 0;"02/2012"; 0; 0; 0
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 33;"AM";"UFAM"; 36;"CIENCIAS AGRARIAS";"LICENCIATURA";; 50; 0;"02/2018"; 0; 0; 0
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 33;"AM";"UFAM"; 892;"ADMINISTRACAO PUBLICA";"BACHARELADO";"10/2013"; 50; 0;"09/2017"; 0; 0; 46
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 37;"RJ";"UFF"; 280;"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA";"ESPECIALIZAÇÃO";"05/2014"; 30; 0;"04/2016"; 0; 0; 2
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 37;"RJ";"UFF"; 280;"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA";"ESPECIALIZAÇÃO";"10/2014"; 30; 0;"09/2016"; 0; 0; 1
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 65;"DF";"UnB"; 163;"ARTES VISUAIS";"LICENCIATURA";"03/2009"; 20; 3;"01/2013"; 1; 5; 9
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 65;"DF";"UnB"; 163;"ARTES VISUAIS";"LICENCIATURA";"10/2007"; 20; 2;"01/2012"; 0; 6; 8
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 65;"DF";"UnB"; 166;"MUSICA";"LICENCIATURA";"03/2009"; 20; 2;"01/2013"; 0; 0; 2
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 65;"DF";"UnB"; 166;"MUSICA";"LICENCIATURA";"10/2007"; 15; 0;"01/2012"; 2; 0; 2
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 65;"DF";"UnB"; 167;"PEDAGOGIA";"LICENCIATURA";"03/2014"; 50; 0;"01/2019"; 0; 7; 50
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 65;"DF";"UnB"; 168;"TEATRO";"LICENCIATURA";"03/2009"; 20; 1;"01/2013"; 0; 1; 2
 2;"BRASILEIA";"BRASILEIA - CENTRO"; 65;"DF";"UnB"; 168;"TEATRO";"LICENCIATURA";"10/2007"; 15; 3;"01/2012"; 0; 4; 7
